Name,Race/Ethnicity,Gender,Employee Type,Years At Western
Jasmine,P,F,Professional,05/29/2014
Jamie,A,Non Binary,Professional,10/09/2018
John,I,M,Professional,09/21/2010
Jamie,P,Not Declared,State Classified,12/08/2016
Jerry,H,F,Academic,07/19/2013
Joe,S,F,Academic,03/10/2012
Jerry,P,F,State Classified,09/01/2023
Jamie,I,Not Declared,Professional,12/21/2017
Jasmine,P,Not Declared,Professional,07/09/2014
Jack,B,M,State Classified,01/16/2021
Joe,P,F,Professional,01/11/2019
Jasmine,W,F,Professional,09/02/2023
John,B,F,Professional,03/11/2022
Joe,B,Non Binary,State Classified,11/23/2018
Jasmine,I,M,Professional,10/21/2017
Joe,W,F,State Classified,04/30/2014
Jerry,H,Not Declared,State Classified,07/18/2020
Jasmine,A,Non Binary,Professional,04/10/2020
Joe,S,Not Declared,Professional,03/27/2023
Joe,A,F,Professional,08/27/2016
John,H,Non Binary,Academic,03/05/2022
John,A,F,State Classified,12/29/2011
Joe,A,M,Professional,08/07/2012
John,H,Non Binary,State Classified,01/29/2020
Jamie,W,F,Academic,10/13/2010
Joe,W,M,Professional,11/01/2015
Jasmine,P,Not Declared,State Classified,07/03/2014
John,U,Not Declared,Professional,12/28/2011
John,P,F,Academic,12/25/2010
Jason,P,F,State Classified,03/12/2021
John,A,F,Professional,04/27/2020
Jack,W,F,Academic,03/29/2014
Jasmine,S,F,Professional,06/05/2015
Jack,P,F,Academic,03/15/2015
Jerry,P,Non Binary,Academic,08/06/2019
Jack,I,M,State Classified,08/02/2019
Jason,B,Not Declared,Professional,02/24/2012
Jason,A,F,State Classified,10/22/2018
Joe,B,F,State Classified,05/19/2019
John,A,M,Academic,08/24/2021
Jack,A,F,State Classified,05/12/2011
John,S,Not Declared,Academic,12/10/2014
Jerry,B,M,Professional,01/28/2017
John,A,F,State Classified,06/24/2020
John,A,Non Binary,State Classified,09/27/2022
Jack,S,Non Binary,Professional,08/01/2018
John,I,F,Professional,06/13/2023
John,B,Non Binary,Professional,05/09/2012
John,W,Non Binary,Professional,11/11/2023
John,P,M,Professional,08/27/2019
Jamie,B,M,State Classified,12/15/2018
John,U,M,Professional,01/20/2016
Jason,A,F,Professional,08/05/2011
Joe,P,F,Professional,10/02/2012
Jerry,U,F,State Classified,12/20/2014
Jack,U,Not Declared,Professional,11/08/2022
Jamie,H,M,State Classified,03/21/2015
John,A,F,Professional,12/12/2020
Jasmine,P,M,Professional,10/11/2015
Jasmine,H,M,Professional,12/15/2019
Jamie,A,Not Declared,State Classified,10/03/2022
Jerry,H,F,Professional,02/07/2024
John,A,F,State Classified,08/03/2014
Jack,B,F,Academic,06/23/2017
Joe,A,Not Declared,State Classified,01/19/2019
John,W,M,State Classified,06/27/2018
Jasmine,H,F,Professional,07/26/2010
Jack,H,Non Binary,Professional,11/25/2020
Jerry,H,F,Professional,07/07/2019
Jamie,H,F,Professional,09/25/2021
Jasmine,H,M,Professional,04/24/2018
Jerry,W,F,Professional,08/09/2013
John,A,Non Binary,State Classified,12/05/2017
Jasmine,S,F,Academic,06/06/2021
Joe,B,M,Academic,03/26/2019
Jack,U,M,Professional,10/06/2022
Jack,B,F,Academic,07/15/2023
Jasmine,A,F,Academic,09/08/2018
John,B,M,Professional,04/16/2019
Jason,B,F,Professional,09/15/2020
John,S,Non Binary,Professional,11/27/2021
Jerry,A,Non Binary,Professional,08/17/2015
Jamie,H,Not Declared,Professional,01/31/2017
Jerry,W,Not Declared,State Classified,08/07/2014
John,U,Not Declared,Professional,06/06/2020
Jamie,A,M,Professional,12/12/2012
Jasmine,A,Non Binary,Professional,07/25/2019
Jason,P,Not Declared,Professional,12/11/2017
John,I,F,Professional,02/05/2024
John,S,F,State Classified,11/02/2023
Joe,S,F,State Classified,05/28/2012
John,A,Non Binary,Professional,10/18/2011
John,U,M,Professional,09/12/2014
Joe,A,F,Professional,02/18/2019
Jason,P,Non Binary,Academic,07/25/2023
Joe,U,Non Binary,Academic,01/12/2011
John,H,Non Binary,Academic,01/12/2023
Jamie,A,F,Professional,03/04/2012
John,B,M,Academic,07/04/2015
Jerry,B,Not Declared,Academic,12/19/2016
Jasmine,I,F,Academic,04/28/2018
John,I,F,Professional,09/19/2012
Jack,H,Not Declared,Academic,11/05/2019
Joe,I,Non Binary,State Classified,09/09/2012
Jerry,B,Not Declared,State Classified,06/29/2020
Jamie,A,F,State Classified,01/14/2018
John,W,F,State Classified,04/22/2018
Jerry,S,Not Declared,Academic,01/21/2015
Jack,W,F,State Classified,11/07/2019
Jason,S,Non Binary,State Classified,10/16/2020
John,S,Non Binary,Academic,02/18/2022
Joe,A,Not Declared,Professional,04/29/2011
John,B,Not Declared,Academic,01/06/2020
Jerry,H,F,Academic,07/14/2019
Joe,W,M,Professional,06/07/2018
John,B,M,Academic,04/10/2018
John,W,F,Professional,08/21/2012
Jasmine,A,F,State Classified,05/20/2014
Jack,A,F,State Classified,12/09/2011
John,P,Not Declared,Professional,01/27/2015
John,I,F,State Classified,02/01/2016
Jerry,H,Non Binary,Academic,03/25/2012
Jason,A,F,Professional,07/23/2012
Jason,S,F,Professional,01/04/2022
John,W,F,State Classified,10/05/2014
Jason,A,F,Academic,01/22/2013
Jason,I,M,Academic,06/27/2023
Jamie,H,F,Professional,06/01/2013
Jasmine,B,Not Declared,Academic,07/21/2019
Jamie,A,F,State Classified,04/07/2012
Jason,W,F,Professional,01/22/2023
Jamie,H,F,State Classified,09/12/2019
Joe,S,M,Professional,04/16/2021
Joe,W,M,Professional,05/27/2016
Jamie,H,Not Declared,Professional,08/11/2015
John,H,F,Academic,10/01/2015
John,A,Non Binary,Professional,08/31/2023
Jason,H,Non Binary,Professional,06/21/2011
Jasmine,U,Not Declared,Professional,06/20/2010
Joe,U,F,Academic,12/27/2018
Jasmine,P,M,State Classified,07/21/2020
Jason,W,F,Academic,12/06/2021
John,A,F,Professional,07/02/2021
Jamie,U,F,Professional,04/09/2020
John,A,M,Professional,07/01/2012
Jamie,U,F,Professional,01/28/2015
John,W,Not Declared,State Classified,05/07/2020
John,I,F,Professional,01/31/2014
Jerry,A,Non Binary,Professional,11/13/2017
Jason,H,Non Binary,Professional,04/15/2018
John,A,F,Professional,11/22/2011
Jerry,A,Non Binary,Professional,10/30/2020
Jack,B,F,Professional,11/13/2023
Jack,U,F,Professional,03/04/2021
Jerry,A,Non Binary,Professional,09/29/2014
Jasmine,S,F,Academic,12/08/2013
John,A,M,Academic,09/28/2022
John,I,Not Declared,Professional,02/10/2013
Jack,I,F,Professional,01/28/2021
Jamie,S,Not Declared,Professional,09/06/2021
Jerry,S,Non Binary,Professional,03/24/2014
Jack,P,F,Academic,11/15/2013
John,A,Not Declared,Professional,09/12/2015
Jasmine,W,F,State Classified,06/27/2022
Jason,A,F,Professional,06/25/2021
Jack,A,Non Binary,Academic,02/18/2024
Jason,H,Not Declared,Professional,08/23/2022
Jamie,U,Non Binary,Academic,08/06/2015
Jason,A,F,Professional,11/03/2019
John,H,M,State Classified,05/13/2015
Jamie,H,F,Academic,04/23/2014
Joe,I,F,Professional,08/13/2022
Joe,B,Not Declared,Professional,10/07/2011
Jack,I,M,Professional,07/04/2022
Jerry,A,M,Academic,09/15/2023
Jerry,S,Not Declared,Professional,04/03/2015
Jason,U,F,Professional,07/23/2016
Jack,H,Non Binary,Professional,05/07/2013
Jerry,B,M,Professional,05/18/2011
John,W,F,Academic,11/04/2014
Jack,S,M,Professional,04/20/2016
John,S,F,Professional,04/20/2020
John,W,Non Binary,State Classified,12/23/2011
Jamie,A,Not Declared,State Classified,05/20/2020
Jamie,U,Not Declared,Professional,05/28/2016
Jamie,H,Non Binary,State Classified,03/12/2018
Jamie,P,F,Academic,01/04/2011
Jasmine,W,F,Professional,07/25/2017
Jack,B,M,Professional,01/16/2019
Jamie,P,Not Declared,State Classified,05/17/2013
Jack,I,Non Binary,Academic,03/25/2018
John,W,Not Declared,Professional,04/23/2015
Jason,A,Not Declared,Academic,10/10/2014
Jason,P,F,Professional,05/01/2023
Jack,W,Not Declared,Professional,01/20/2019
Jasmine,A,F,Professional,12/12/2017
Jack,P,Not Declared,Professional,10/03/2022
Jason,A,F,Academic,06/13/2014
Jerry,I,M,Academic,06/29/2012
Joe,B,F,Professional,02/04/2018
Jasmine,W,Not Declared,State Classified,01/20/2017
John,H,F,Professional,08/04/2016
John,H,Non Binary,Academic,09/22/2010
John,I,Non Binary,Professional,01/16/2018
Jack,H,Not Declared,State Classified,11/23/2016
Jason,P,M,State Classified,02/18/2012
Jack,A,Not Declared,Professional,10/15/2018
Joe,W,Non Binary,Professional,03/31/2013
Jack,A,Non Binary,State Classified,04/15/2016
John,U,M,Professional,02/15/2011
Jason,S,F,Academic,02/10/2011
John,B,F,Professional,08/22/2021
Jerry,W,M,State Classified,02/21/2020
John,P,Not Declared,Professional,08/28/2017
Jasmine,H,F,Academic,01/06/2011
Jasmine,A,Non Binary,State Classified,05/30/2016
Jerry,A,M,State Classified,03/12/2014
Jamie,B,F,Academic,11/06/2017
Jack,S,F,Professional,03/29/2020
Jasmine,P,M,Professional,11/27/2023
Jasmine,P,Non Binary,Professional,09/21/2021
Jamie,W,F,Professional,08/12/2012
John,A,Not Declared,Academic,08/14/2015
Jasmine,S,F,Academic,03/02/2013
John,W,M,State Classified,05/15/2019
Jack,H,F,Academic,07/12/2019
Jerry,I,Non Binary,Professional,08/20/2019
Jamie,H,F,Professional,04/26/2022
Jason,U,F,Academic,08/27/2019
Jamie,B,F,Professional,03/04/2013
Jerry,U,F,Academic,06/20/2023
Jasmine,H,F,State Classified,07/06/2015
Joe,U,Not Declared,Professional,11/14/2023
Jerry,H,F,Professional,03/02/2022
Jerry,H,Non Binary,Professional,06/15/2013
John,A,Non Binary,Academic,12/06/2019
Jamie,B,F,Academic,05/23/2016
Jason,B,Non Binary,Academic,08/24/2021
Jasmine,H,M,Professional,08/06/2021
Jasmine,U,Not Declared,Professional,09/01/2020
Jack,S,Not Declared,Academic,12/12/2018
Joe,P,Not Declared,Academic,08/04/2021
Jamie,A,Non Binary,Professional,09/24/2020
Jerry,A,F,Academic,04/14/2020
John,W,M,State Classified,12/25/2020
Jasmine,I,Not Declared,Professional,09/22/2021
Jerry,A,F,Academic,01/07/2018
Jamie,S,M,Professional,09/25/2013
Joe,I,F,Professional,04/03/2012
John,H,Not Declared,Professional,12/01/2015
Jason,I,Non Binary,State Classified,12/08/2023
Joe,S,F,State Classified,07/07/2021
John,H,Not Declared,Professional,12/29/2021
Jerry,H,Non Binary,Professional,05/24/2017
John,I,M,Academic,03/01/2019
Jack,W,F,State Classified,12/05/2016
Jason,U,M,State Classified,08/20/2022
Joe,I,Non Binary,Professional,06/28/2012
Joe,A,M,Academic,12/03/2012
Jamie,U,F,Academic,01/23/2023
Jason,B,Not Declared,State Classified,06/05/2023
Joe,I,F,State Classified,01/14/2014
Jack,S,Non Binary,Academic,02/22/2016
Joe,S,F,Professional,04/28/2019
John,P,M,State Classified,10/08/2012
Jason,A,Not Declared,State Classified,02/25/2016
Jasmine,P,M,Professional,01/12/2014
Jamie,S,F,State Classified,04/21/2014
Jamie,A,M,State Classified,04/03/2011
Jamie,W,Non Binary,State Classified,03/11/2015
John,B,F,Professional,09/26/2018
John,B,M,Academic,01/26/2020
Jasmine,B,Non Binary,State Classified,02/07/2021
Jamie,P,Not Declared,Professional,02/20/2015
John,I,Non Binary,Professional,03/21/2015
Jasmine,U,Non Binary,Academic,03/04/2023
Jasmine,A,F,Professional,10/26/2022
Joe,I,F,Professional,05/25/2021
Jerry,S,F,State Classified,02/23/2018
Jason,B,M,Professional,01/31/2024
John,S,Not Declared,Professional,01/09/2018
Jasmine,A,F,Academic,09/26/2023
Jamie,P,F,State Classified,08/21/2010
Jason,S,F,Academic,12/16/2010
Joe,U,F,Academic,04/14/2015
Jasmine,W,Non Binary,State Classified,05/19/2019
Jasmine,A,Non Binary,State Classified,08/20/2022
Jack,H,F,Professional,08/16/2010
John,U,Not Declared,Academic,07/14/2011
Joe,A,Non Binary,State Classified,05/15/2018
Jasmine,I,M,Professional,05/19/2015
John,B,Not Declared,Professional,02/10/2020
Jason,S,Not Declared,Academic,11/02/2019
John,W,Not Declared,Academic,05/02/2023
Joe,A,Not Declared,Professional,01/18/2014
John,A,Not Declared,Academic,03/10/2018
Jason,H,M,Professional,01/10/2013
Jerry,I,F,State Classified,06/10/2015
Jamie,A,F,State Classified,08/18/2011
Jack,W,M,Academic,12/03/2021
Jack,A,F,State Classified,07/07/2020
Jason,I,F,State Classified,06/20/2019
Jerry,W,F,State Classified,06/14/2023
John,P,F,State Classified,05/14/2023
Jerry,H,F,Professional,06/30/2016
Jerry,P,F,State Classified,12/14/2023
Joe,H,Not Declared,Academic,01/27/2013
Joe,S,M,Academic,12/24/2016
Jerry,I,Non Binary,Professional,06/27/2018
Jason,U,F,Professional,06/02/2012
Jack,B,F,Academic,07/24/2019
Jamie,I,F,Academic,02/09/2015
Jack,A,F,Professional,01/25/2024
John,A,F,Professional,08/26/2017
John,W,F,Professional,07/01/2023
John,P,Not Declared,Professional,05/25/2020
Jack,S,Non Binary,Academic,05/20/2012
Jamie,A,Not Declared,Professional,07/08/2019
Jasmine,W,Non Binary,Academic,06/29/2016
Jack,P,F,Academic,07/22/2012
Jason,U,F,Professional,01/26/2022
John,W,F,Professional,12/31/2011
Jerry,P,F,State Classified,12/04/2020
Jerry,W,M,Professional,11/25/2020
John,W,Not Declared,Professional,05/30/2011
Jack,A,Not Declared,State Classified,05/12/2019
Jason,S,M,Academic,02/12/2018
Jack,H,M,State Classified,03/11/2018
Jamie,W,F,Professional,01/30/2020
Jerry,B,M,Professional,12/15/2022
John,I,Non Binary,State Classified,07/07/2021
Jasmine,P,Not Declared,Professional,12/21/2022
Joe,A,Not Declared,Professional,04/07/2011
Jason,U,M,Professional,01/22/2016
Joe,H,Not Declared,Academic,04/15/2013
Jamie,S,Not Declared,Academic,03/06/2023
Jasmine,U,F,Professional,04/29/2019
John,A,F,Professional,11/04/2015
Joe,P,F,Professional,09/04/2020
John,S,Not Declared,Professional,10/04/2015
Jack,A,F,Professional,09/12/2015
Joe,A,Non Binary,Professional,05/02/2011
Jason,W,Not Declared,Academic,01/02/2021
Jasmine,A,F,State Classified,07/11/2011
Jack,W,F,State Classified,03/31/2015
Jason,P,Non Binary,Academic,06/05/2020
Jason,U,Not Declared,Professional,09/24/2021
John,B,Non Binary,Professional,08/16/2017
Jerry,I,F,State Classified,06/28/2017
Jerry,A,Not Declared,Professional,02/26/2021
Joe,A,Non Binary,State Classified,03/26/2021
John,U,Not Declared,Professional,09/12/2017
John,S,M,Professional,11/14/2021
Jamie,B,F,State Classified,10/18/2011
Joe,A,Not Declared,Professional,09/19/2018
Jamie,A,F,Academic,06/14/2020
Joe,I,F,Academic,08/26/2021
Jamie,I,Non Binary,Professional,09/15/2012
Jamie,S,Non Binary,Professional,07/20/2020
Jasmine,A,M,State Classified,02/27/2018
Jamie,W,M,Professional,04/15/2022
Jamie,S,M,Academic,02/26/2013
Jasmine,H,F,State Classified,02/02/2016
Jason,U,F,Professional,11/26/2017
Jack,S,Not Declared,Professional,11/24/2013
Jason,S,Not Declared,Professional,09/02/2021
